iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
2,704701,724701,saajna,True,Furlenco presents the Home Sapiens,0.05,True
0,456688,456688,Manyavar-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.05,False
1,456688,466688,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.1,False
2,456688,476688,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.14,False
0,352242,352242,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.07,False
1,352242,362242,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,OnePlus 12 - Smooth Beyond Belief,0.1,False
2,352242,372242,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.1,False
0,94492,94492,juice_wrld,True,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.04,True
1,94492,104492,juice_wrld,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.05,True
2,94492,114492,juice_wrld,True,verizon,0.06,True
0,288233,288233,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.13,False
1,288233,298233,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.11,False
2,288233,308233,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.11,False
0,79438,79438,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.07,True
1,79438,89438,juice_wrld,True,pizza_hut,0.02,True
2,79438,99438,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief,0.08,True
0,526219,526219,Furlenco presents the Home Sapiens-enc,False,verizon,0.07,False
1,526219,536219,Introducing iPhone 15  WOW  Apple-enc,False,Myntra x Kiara Advani (Flight),0.06,False
2,526219,546219,Introducing iPhone 15  WOW  Apple-enc,False,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.05,False
0,98121,98121,juice_wrld,True,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.03,True
1,98121,108121,juice_wrld,True,Be Extraordinary Everyday With Myntra,0.04,True
2,98121,118121,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief,0.1,True
0,791079,791079,saajna,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.05,True
1,791079,801079,saajna,True,Be Extraordinary Everyday With Myntra,0.04,True
2,791079,811079,saajna,True,Introducing iPhone 15  WOW  Apple,0.05,True
0,861231,861231,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.09,False
1,861231,871231,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.07,False
2,861231,881231,Myntra x Kiara Advani (Flight)-enc,False,Myntra x Kiara Advani (Flight),0.07,False
0,359781,359781,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.09,False
1,359781,369781,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.11,False
2,359781,379781,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.08,False
0,172492,172492,juice_wrld,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.06,True
1,172492,182492,juice_wrld,True,Urban Company  Salon at Home,0.04,True
2,172492,192492,juice_wrld,True,subway,0.05,True
0,831239,831239,saajna,True,verizon,0.05,True
1,831239,841239,saajna,True,Furlenco presents the Home Sapiens,0.05,True
2,831239,851239,saajna,True,Be Extraordinary Everyday With Myntra,0.06,True
0,781456,781456,saajna,True,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.03,True
1,781456,791456,saajna,True,OnePlus 12 - Smooth Beyond Belief,0.09,True
2,781456,801456,saajna,True,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.04,True
0,331057,331057,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.1,False
1,331057,341057,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.07,False
2,331057,351057,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.08,False
0,795399,795399,saajna,True,Great for the Good  ft. Neeraj Chopra  CRED,0.05,True
1,795399,805399,saajna,True,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.04,True
2,795399,815399,saajna,True,OnePlus 12 - Smooth Beyond Belief,0.09,True
0,765398,765398,saajna,True,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.05,True
1,765398,775398,saajna,True,OnePlus 12 - Smooth Beyond Belief,0.1,True
2,765398,785398,saajna,True,OnePlus 12 - Smooth Beyond Belief,0.09,True
0,551537,551537,Introducing iPhone 15  WOW  Apple-enc,False,Be Extraordinary Everyday With Myntra,0.06,False
1,551537,561537,Introducing iPhone 15  WOW  Apple-enc,False,Introducing iPhone 15  WOW  Apple,0.09,False
2,551537,571537,Introducing iPhone 15  WOW  Apple-enc,False,Introducing iPhone 15  WOW  Apple,0.08,False
0,210208,210208,juice_wrld,True,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.04,True
1,210208,220208,juice_wrld,True,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.04,True
2,210208,230208,juice_wrld,True,subway,0.04,True
0,572838,572838,Introducing iPhone 15  WOW  Apple-enc,False,Introducing iPhone 15  WOW  Apple,0.09,False
1,572838,582838,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.07,False
2,572838,592838,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.11,False
0,220484,220484,juice_wrld,True,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.05,True
1,220484,230484,juice_wrld,True,Furlenco presents the Home Sapiens,0.05,True
2,220484,240484,juice_wrld,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.05,True
0,339282,339282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.07,False
1,339282,349282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.07,False
2,339282,359282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,OnePlus 12 - Smooth Beyond Belief,0.11,False
0,570602,570602,Introducing iPhone 15  WOW  Apple-enc,False,OnePlus 12 - Smooth Beyond Belief,0.13,False
